Country Name;Country Code;Indicator Name;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Albania;ALB;International tourism, number of arrivals;304000;287000;119000;184000;371000;317000;354000;470000;557000;645000;748000;937000;1127000;1420000;1856000;2417000;2932000;3514000;3256000;3673000;4131000
Andorra;AND;International tourism, number of arrivals;;;;;2347000;2949000;3516000;3387000;3138000;2791000;2418000;2227000;2189000;2059000;1830000;1808000;2242000;2238000;2328000;2363000;2670000
Armenia;ARM;International tourism, number of arrivals;12000;13000;23000;32000;41000;45000;123000;162000;206000;263000;319000;382000;511000;558000;575000;684000;758000;963000;1084000;1204000;1192000
Austria;AUT;International tourism, number of arrivals;17173000;17090000;16647000;17352000;17467000;17982000;18180000;18611000;19078000;19374000;19952000;20269000;20773000;21935000;21355000;22004000;23012000;24151000;24813000;25291000;26719000
Belgium;BEL;International tourism, number of arrivals;5560000;5829000;6037000;6179000;6369000;6457000;6452000;6720000;6690000;6710000;6747000;6995000;7045000;7165000;6815000;7186000;7494000;7560000;7684000;7887000;8355000
Bulgaria;BGR;International tourism, number of arrivals;3466000;2795000;2980000;2667000;2472000;2785000;3186000;3433000;4048000;4630000;4837000;5158000;5151000;5780000;5739000;6047000;6328000;6541000;6898000;7311000;7099000
Bosnia and Herzegovina;BIH;International tourism, number of arrivals;;;115000;148000;147000;171000;139000;160000;165000;190000;217000;256000;306000;322000;311000;365000;392000;439000;529000;536000;678000
Belarus;BLR;International tourism, number of arrivals;160600;234000;253500;355000;74900;60000;61000;63000;64000;67000;91000;89000;105000;90500;95000;119300;116000;119000;137000;136800;102000
Central Europe and the Baltics;CEB;International tourism, number of arrivals;39224000;41706000;43855000;43820000;42625000;44000000;43763000;43246000;45480000;50292000;51504000;53482000;55013000;55531000;51003000;53370000;57183000;61261000;64255000;66800000;70983000
Switzerland;CHE;International tourism, number of arrivals;6946000;6730000;7039000;7185000;7154000;7821000;7455000;6868000;6530000;;7229000;7863000;8448000;8608000;8294000;8628000;8534000;8566000;8967000;9158000;9305000
Cyprus;CYP;International tourism, number of arrivals;2100000;1950000;2088000;2223000;2434000;2686000;2697000;2418000;2303000;2349000;2470000;2401000;2416000;2404000;2141000;2173000;2392000;2465000;2405000;2441000;2659000
Czech Republic;CZE;International tourism, number of arrivals;3381000;4558000;4976000;5482000;5610000;4773000;5405000;4743000;5076000;6061000;6336000;6435000;6680000;6649000;6032000;6334000;6715000;7647000;7852000;8096000;8707000
Germany;DEU;International tourism, number of arrivals;14847000;15205000;15837000;16511000;17116000;18983000;17861000;17969000;18399000;20137000;21500000;23569000;24421000;24884000;24220000;26875000;28374000;30411000;31545000;32999000;34970000
Denmark;DNK;International tourism, number of arrivals;2124000;2125000;2158000;2073000;2023000;3535000;3684000;3436000;3474000;4421000;9587000;9630000;9832000;9564000;9265000;9425000;8471000;8443000;8557000;10267000;10424000
Euro area;EMU;International tourism, number of arrivals;196847000;202466000;217627000;229558000;240992000;255220000;253457000;259072000;257998000;259716000;268230000;284573000;293226000;290324000;277270000;283879000;301030000;307576000;321194000;335866000;351200000
Spain;ESP;International tourism, number of arrivals;32971000;34027000;39553000;41892000;45440000;46403000;48565000;50331000;50854000;52430000;55914000;58004000;58666000;57192000;52178000;52677000;56177000;57464000;60675000;64939000;68215000
Estonia;EST;International tourism, number of arrivals;530000;665000;730000;825000;950000;1220000;1320000;1362000;1462000;1750000;1917000;1940000;1900000;2079000;2059000;2372000;2665000;2744000;2873000;2918000;2989000
European Union;EUU;International tourism, number of arrivals;258870000;267764000;285078000;297044000;306801000;324840000;320374000;325998000;327323000;337254000;354140000;374184000;385690000;381017000;362791000;371704000;391782000;401945000;419948000;440496000;462013000
