year,country,arrivals,departures
1995,Albania,304000,12000
1995,Armenia,12000,
1995,Austria,17173000,
1995,Belgium,5560000,
1995,Bulgaria,3466000,3524000
1995,Belarus,160600,626000
1995,Switzerland,6946000,11148000
1995,Cyprus,2100000,360000
1995,Czech Republic,3381000,
1995,Germany,14847000,
1995,Denmark,2124000,
1995,Spain,32971000,3648000
1995,Estonia,530000,1764000
1995,Finland,1779000,5147000
1995,France,60033000,18686000
1995,United Kingdom,21719000,41345000
1995,Georgia,85000,228000
1995,Greece,10130000,
1995,Croatia,1485000,
1995,Hungary,2878000,13083000
1995,Ireland,4818000,2547000
1995,Iceland,190000,166000
1995,Israel,2215000,2259000
1995,Italy,31052000,
1995,Lithuania,650000,1925000
1995,Luxembourg,768000,
1995,Latvia,539000,1812000
1995,Moldova,32000,71000
1995,Malta,1116000,163000
1995,Netherlands,6574000,12313000
1995,Norway,2880000,590000
1995,Poland,19215000,36387000
1995,Portugal,4572000,
1995,Romania,5445000,5737000
1995,Slovak Republic,903000,
1995,Slovenia,732000,
1995,Sweden,2310000,10127000
1995,Turkey,7083000,3981000
1995,Ukraine,3716000,6552000
1996,Albania,287000,16000
1996,Armenia,13000,
1996,Austria,17090000,
1996,Belgium,5829000,5645000
1996,Bulgaria,2795000,3006000
1996,Belarus,234000,703000
1996,Switzerland,6730000,12061000
1996,Cyprus,1950000,365000
1996,Czech Republic,4558000,
1996,Germany,15205000,
1996,Denmark,2125000,5035000
1996,Spain,34027000,4224000
1996,Estonia,665000,1547000
1996,Finland,1724000,4918000
1996,France,62406000,18151000
1996,United Kingdom,22936000,42050000
1996,Georgia,117000,219000
1996,Greece,9233000,
1996,Croatia,2914000,
1996,Hungary,2979000,12064000
1996,Ireland,5289000,2733000
1996,Iceland,201000,190000
1996,Israel,2100000,2505000
1996,Italy,32943000,18173000
1996,Lithuania,832000,2864000
1996,Luxembourg,724000,
1996,Latvia,565000,1798000
1996,Moldova,29000,54000
1996,Malta,1054000,168000
1996,Netherlands,6580000,12807000
1996,Norway,2746000,692000
1996,Poland,19410000,44713000
1996,Portugal,4567000,
1996,Romania,5205000,5748000
1996,Slovak Republic,951000,
1996,Slovenia,832000,
1996,Sweden,2376000,10390000
1996,Turkey,7966000,4261000
1996,Ukraine,3854000,6004000
1997,Albania,119000,
1997,Armenia,23000,
1997,Austria,16647000,
1997,Belgium,6037000,7548000
1997,Bulgaria,2980000,3059000
1997,Belarus,253500,969000
1997,Switzerland,7039000,12515000
1997,Cyprus,2088000,422000
1997,Czech Republic,4976000,
1997,Germany,15837000,55800000
1997,Denmark,2158000,4693000
1997,Spain,39553000,3980000
1997,Estonia,730000,1616000
1997,Finland,1832000,5233000
1997,France,66591000,17115000
1997,United Kingdom,23215000,45957000
1997,Georgia,313000,355000
1997,Greece,10070000,
1997,Croatia,4178000,
1997,Hungary,2887000,12173000
1997,Ireland,5587000,3053000
1997,Iceland,202000,203000
1997,Israel,2010000,2707000
1997,Italy,34692000,19078000
1997,Lithuania,1012000,2981000
1997,Luxembourg,778000,694000
1997,Latvia,635000,1877000
1997,Moldova,21000,35000
1997,Malta,1111000,172000
1997,Netherlands,7841000,12858000
1997,Norway,2702000,753000
1997,Poland,19520000,48610000
1997,Portugal,4798000,
1997,Romania,5149000,6243000
1997,Slovak Republic,814000,
1997,Slovenia,974000,
1997,Sweden,2388000,10818000
1997,Turkey,9040000,4633000
1997,Ukraine,7558000,9632000
1998,Albania,184000,
1998,Armenia,32000,
1998,Austria,17352000,
1998,Belgium,6179000,7776000
1998,Bulgaria,2667000,2592000
1998,Belarus,355000,901000
1998,Switzerland,7185000,11891000
1998,Cyprus,2223000,484000
1998,Czech Republic,5482000,
1998,Germany,16511000,69200000
1998,Denmark,2073000,4788000
1998,Spain,41892000,4794000
1998,Estonia,825000,1659000
1998,Finland,1867000,4743000
1998,France,70109000,18077000
1998,United Kingdom,23710000,50872000
1998,Georgia,317000,433000
1998,Greece,10916000,
1998,Croatia,4499000,
1998,Hungary,2871000,12317000
1998,Ireland,6064000,3330000
1998,Iceland,232000,227000
1998,Israel,1942000,2983000
1998,Italy,34933000,19352000
1998,Lithuania,1416000,3241000
1998,Luxembourg,789000,757000
1998,Latvia,576000,1961000
1998,Moldova,19000,28000
1998,Malta,1182000,167000
1998,Netherlands,9312000,13553000
1998,Norway,3256000,
1998,Poland,18780000,49328000
1998,Portugal,5539000,
1998,Romania,4831000,6893000
1998,Slovak Republic,896000,
1998,Slovenia,977000,
1998,Sweden,2573000,11422000
1998,Turkey,8960000,4601000
1998,Ukraine,6208000,7773000
1999,Albania,371000,
1999,Armenia,41000,
1999,Austria,17467000,
1999,Belgium,6369000,6410000
1999,Bulgaria,2472000,2376000
1999,Belarus,74900,934000
1999,Switzerland,7154000,11815000
1999,Cyprus,2434000,540000
1999,Czech Republic,5610000,
1999,Germany,17116000,78100000
1999,Denmark,2023000,4744000
1999,Spain,45440000,3519000
1999,Estonia,950000,1780000
1999,Finland,1831000,5314000
1999,France,73147000,16709000
1999,United Kingdom,23341000,53881000
1999,Georgia,384000,373000
1999,Greece,12164000,
1999,Croatia,3805000,
1999,Hungary,2789000,10622000
1999,Ireland,6403000,3576000
1999,Iceland,263000,257000
1999,Israel,2312000,3203000
1999,Italy,36516000,18962000
1999,Lithuania,1422000,3487000
1999,Luxembourg,863000,809000
1999,Latvia,544000,2256000
1999,Moldova,14000,37000
1999,Malta,1214000,179000
1999,Netherlands,9874000,14184000
1999,Norway,3223000,2271000
1999,Poland,17950000,55097000
1999,Portugal,5379000,
1999,Romania,5224000,6274000
1999,Slovak Republic,975000,
1999,Slovenia,884000,
1999,Sweden,2595000,10500000
1999,Turkey,6893000,4758000
1999,Ukraine,4232000,7399000
2000,Albania,317000,
2000,Armenia,45000,111000
2000,Austria,17982000,7528000
2000,Belgium,6457000,7932000
2000,Bulgaria,2785000,2337000
2000,Belarus,60000,1289000
2000,Switzerland,7821000,12240000
2000,Cyprus,2686000,588000
2000,Czech Republic,4773000,
2000,Germany,18983000,80507000
2000,Denmark,3535000,5011000
2000,Spain,46403000,4100000
2000,Estonia,1220000,1800000
2000,Finland,1971000,5914000
2000,France,77190000,19886000
2000,United Kingdom,23212000,56837000
2000,Georgia,387000,315000
2000,Greece,13096000,
2000,Croatia,5831000,
2000,Hungary,2992000,11065000
2000,Ireland,6646000,3783000
2000,Iceland,303000,283000
2000,Israel,2417000,3530000
2000,Italy,41181000,21993000
2000,Lithuania,1083000,3632000
2000,Luxembourg,852000,950000
2000,Latvia,509000,2596000
2000,Moldova,18000,32000
2000,Malta,1216000,200000
2000,Netherlands,10003000,13896000
2000,Norway,3104000,2394000
2000,Poland,17400000,56677000
2000,Portugal,5599000,
2000,Romania,5264000,6388000
2000,Slovak Republic,1053000,
2000,Slovenia,1090000,1965000
2000,Sweden,3828000,10147000
2000,Turkey,9586000,5284000
2000,Ukraine,6431000,13422000
2001,Albania,354000,955000
2001,Armenia,123000,110000
2001,Austria,18180000,8350000
2001,Belgium,6452000,6570000
2001,Bulgaria,3186000,2730000
2001,Belarus,61000,1387000
2001,Switzerland,7455000,11554000
2001,Cyprus,2697000,684000
2001,Czech Republic,5405000,
2001,Germany,17861000,81551000
2001,Denmark,3684000,4946000
2001,Spain,48565000,4139000
2001,Estonia,1320000,1658000
2001,Finland,1999000,5824000
2001,France,75202000,19265000
2001,United Kingdom,20982000,58281000
2001,Georgia,302000,306000
2001,Greece,14057000,
2001,Croatia,6544000,
2001,Hungary,3070000,11167000
2001,Ireland,6353000,4216000
2001,Iceland,301000,
2001,Israel,1196000,3561000
2001,Italy,39563000,22421000
2001,Lithuania,1271000,3390000
2001,Luxembourg,836000,923000
2001,Latvia,591000,2697000
2001,Moldova,16000,30000
2001,Malta,1180000,179000
2001,Netherlands,9500000,14214000
2001,Norway,3073000,2348000
2001,Poland,15000000,53122000
2001,Portugal,5392000,
2001,Romania,4938000,6408000
2001,Slovak Republic,1219000,
2001,Slovenia,1219000,2055000
2001,Sweden,4108000,10741000
2001,Turkey,10783000,4856000
2001,Ukraine,9174000,14849000
2002,Albania,470000,1303000
2002,Armenia,162000,131000
2002,Austria,18611000,8266000
2002,Belgium,6720000,6773000
2002,Bulgaria,3433000,3188000
2002,Belarus,63000,1436000
2002,Switzerland,6868000,11427000
2002,Cyprus,2418000,744000
2002,Czech Republic,4743000,
2002,Germany,17969000,80393000
2002,Denmark,3436000,4935000
2002,Spain,50331000,3871000
2002,Estonia,1362000,1849000
2002,Finland,2043000,5857000
2002,France,77012000,18315000
2002,United Kingdom,22307000,59377000
2002,Georgia,298000,317000
2002,Greece,14180000,
2002,Croatia,6944000,
2002,Hungary,3013000,12966000
2002,Ireland,6476000,4634000
2002,Iceland,285000,
2002,Israel,861900,3273000
2002,Italy,39799000,25126000
2002,Lithuania,1428000,3584000
2002,Luxembourg,885000,1049000
2002,Latvia,848000,2306000
2002,Moldova,18000,52000
2002,Malta,1134000,157000
2002,Netherlands,9595000,16719000
2002,Norway,3111000,2629000
2002,Poland,13980000,45043000
2002,Portugal,5560000,
2002,Romania,4794000,5757000
2002,Slovak Republic,1399000,
2002,Slovenia,1302000,2127000
2002,Sweden,4276000,12888000
2002,Turkey,12790000,5131000
2002,Ukraine,10517000,14729000
2003,Albania,557000,1350000
2003,Armenia,206000,169000
2003,Austria,19078000,8384000
2003,Belgium,6690000,7268000
2003,Bulgaria,4048000,3403000
2003,Belarus,64000,1108000
2003,Switzerland,6530000,8774000
2003,Cyprus,2303000,737000
2003,Czech Republic,5076000,7213000
2003,Germany,18399000,85345000
2003,Denmark,3474000,5564000
2003,Spain,50854000,4094000
2003,Estonia,1462000,2075000
2003,Finland,2047000,5585000
2003,France,75048000,18576000
2003,United Kingdom,22787000,61424000
2003,Georgia,313000,
2003,Greece,13969000,
2003,Croatia,7409000,
2003,Hungary,2948000,14283000
2003,Ireland,6764000,4929000
2003,Iceland,317000,
2003,Israel,1063000,3299000
2003,Italy,39604000,26817000
