year,Albania,Armenia,Austria,Belgium,Bulgaria,Belarus,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Georgia,Greece,Croatia,Hungary,Ireland,Iceland,Israel,Italy,Lithuania,Luxembourg,Latvia,Moldova,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden,Turkey,Ukraine
1995,304000,12000,17173000,5560000,3466000,160600,6946000,2100000,3381000,14847000,2124000,32971000,530000,1779000,60033000,21719000,85000,10130000,1485000,2878000,4818000,190000,2215000,31052000,650000,768000,539000,32000,1116000,6574000,2880000,19215000,4572000,5445000,903000,732000,2310000,7083000,3716000
1996,287000,13000,17090000,5829000,2795000,234000,6730000,1950000,4558000,15205000,2125000,34027000,665000,1724000,62406000,22936000,117000,9233000,2914000,2979000,5289000,201000,2100000,32943000,832000,724000,565000,29000,1054000,6580000,2746000,19410000,4567000,5205000,951000,832000,2376000,7966000,3854000
1997,119000,23000,16647000,6037000,2980000,253500,7039000,2088000,4976000,15837000,2158000,39553000,730000,1832000,66591000,23215000,313000,10070000,4178000,2887000,5587000,202000,2010000,34692000,1012000,778000,635000,21000,1111000,7841000,2702000,19520000,4798000,5149000,814000,974000,2388000,9040000,7558000
1998,184000,32000,17352000,6179000,2667000,355000,7185000,2223000,5482000,16511000,2073000,41892000,825000,1867000,70109000,23710000,317000,10916000,4499000,2871000,6064000,232000,1942000,34933000,1416000,789000,576000,19000,1182000,9312000,3256000,18780000,5539000,4831000,896000,977000,2573000,8960000,6208000
1999,371000,41000,17467000,6369000,2472000,74900,7154000,2434000,5610000,17116000,2023000,45440000,950000,1831000,73147000,23341000,384000,12164000,3805000,2789000,6403000,263000,2312000,36516000,1422000,863000,544000,14000,1214000,9874000,3223000,17950000,5379000,5224000,975000,884000,2595000,6893000,4232000
2000,317000,45000,17982000,6457000,2785000,60000,7821000,2686000,4773000,18983000,3535000,46403000,1220000,1971000,77190000,23212000,387000,13096000,5831000,2992000,6646000,303000,2417000,41181000,1083000,852000,509000,18000,1216000,10003000,3104000,17400000,5599000,5264000,1053000,1090000,3828000,9586000,6431000
2001,354000,123000,18180000,6452000,3186000,61000,7455000,2697000,5405000,17861000,3684000,48565000,1320000,1999000,75202000,20982000,302000,14057000,6544000,3070000,6353000,301000,1196000,39563000,1271000,836000,591000,16000,1180000,9500000,3073000,15000000,5392000,4938000,1219000,1219000,4108000,10783000,9174000
2002,470000,162000,18611000,6720000,3433000,63000,6868000,2418000,4743000,17969000,3436000,50331000,1362000,2043000,77012000,22307000,298000,14180000,6944000,3013000,6476000,285000,861900,39799000,1428000,885000,848000,18000,1134000,9595000,3111000,13980000,5560000,4794000,1399000,1302000,4276000,12790000,10517000
2003,557000,206000,19078000,6690000,4048000,64000,6530000,2303000,5076000,18399000,3474000,50854000,1462000,2047000,75048000,22787000,313000,13969000,7409000,2948000,6764000,317000,1063000,39604000,1491000,867000,971000,21000,1127000,9181000,3269000,13720000,5383000,5595000,1387000,1373000,4268000,13341000,12514000
2004,645000,263000,19374000,6710000,4630000,67000,,2349000,6061000,20137000,4421000,52430000,1750000,2083000,74433000,25678000,368000,13313000,7912000,3270000,6953000,360000,1505600,37071000,1800000,878000,1079000,69000,1156000,9646000,3628000,14290000,5654000,6600000,1401000,1499000,4676000,16826000,15629000
