Country Name;Country Code;Indicator Name;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Albania;ALB;International tourism, number of departures;12000;16000;;;;;955000;1303000;1350000;1694000;2097000;2616000;2979000;3716000;3404000;3443000;4120000;3959000;3928000;4146000;4504000
Armenia;ARM;International tourism, number of departures;;;;;;111000;110000;131000;169000;221000;269000;329000;468000;516000;526000;563000;715000;965000;1083000;1198000;1187000
Austria;AUT;International tourism, number of departures;;;;;;7528000;8350000;8266000;8384000;8371000;8206000;10042000;9876000;9677000;10121000;9882000;9874000;10960000;10671000;10994000;10628000
Azerbaijan;AZE;International tourism, number of departures;;432000;654000;1146000;1204000;1326000;1130000;1141000;1475000;1473000;1830000;1836000;1631000;2162000;2363000;3176000;3550000;3874000;4285000;4244000;4096000
Belgium;BEL;International tourism, number of departures;;5645000;7548000;7776000;6410000;7932000;6570000;6773000;7268000;8783000;9327000;7852000;8371000;8887000;8775000;8801000;9727000;9576000;10803000;10991000;10835000
Bulgaria;BGR;International tourism, number of departures;3524000;3006000;3059000;2592000;2376000;2337000;2730000;3188000;3403000;3882000;4235000;4180000;4515000;5727000;4993000;3676000;3803000;3758000;3930000;4158000;4632000
Belarus;BLR;International tourism, number of departures;626000;703000;969000;901000;934000;1289000;1387000;1436000;1108000;515000;572000;525000;517000;380000;316000;415000;320000;493000;708000;741000;671000
Central Europe and the Baltics;CEB;International tourism, number of departures;72853759,5;81369546,44;86835393,16;88459608,25;92884233,3;95836629,86;92253009,41;85151167,08;80794956,63;84060319,18;89501505,98;93981868,6;103194194,5;110599000;95151000;95233000;94646000;95640000;102067000;86720000;98234000
Switzerland;CHE;International tourism, number of departures;11148000;12061000;12515000;11891000;11815000;12240000;11554000;11427000;8774000;;;;;11147000;10453000;10011000;10466000;12098000;12403000;12518000;13601000
Cyprus;CYP;International tourism, number of departures;360000;365000;422000;484000;540000;588000;684000;744000;737000;859000;914000;932000;1081000;1210000;1172000;1246000;1209000;1194000;1115000;1209000;1119000
Czech Republic;CZE;International tourism, number of departures;;;;;;;;;7213000;6643000;6963000;6393000;9048000;9665000;8904000;8673000;5279000;5419000;5781000;5651000;5856000
Germany;DEU;International tourism, number of departures;;;55800000;69200000;78100000;80507000;81551000;80393000;85345000;84859000;86622000;81801000;82099000;86201000;85547000;85872000;84692000;82729000;87459000;83008000;83737000
Denmark;DNK;International tourism, number of departures;;5035000;4693000;4788000;4744000;5011000;4946000;4935000;5564000;4630000;5469000;6129000;6564000;6347000;7037000;7726000;7846000;7843000;6977000;8528000;8991000
Euro area;EMU;International tourism, number of departures;;;145018158,3;163269856,6;170640840;183729236,1;184626790,8;188393203,9;196230742,6;200091177;212312225,7;209828151;223494367,8;227880811,9;226768835,5;228751188,9;232703505,9;227231384,7;231644770,3;233214749,4;236892423,8
Spain;ESP;International tourism, number of departures;3648000;4224000;3980000;4794000;3519000;4100000;4139000;3871000;4094000;5121000;10464000;10678000;11276000;11229000;12017000;12379000;13347000;12422000;11246000;11783000;14407000
Estonia;EST;International tourism, number of departures;1764000;1547000;1616000;1659000;1780000;1800000;1658000;1849000;2075000;;;438000;677000;692000;752000;955000;1054000;1147000;1166000;1426000;1250000
European Union;EUU;International tourism, number of departures;;270816555,2;286104530,9;311385515,4;324405341,7;342743430,4;342531933,1;342945457,6;349214615,6;358540812,6;380492046,7;382290073,6;405085982,8;416314462,9;389170491,9;390030519,2;395815785,5;395747351;406168960,2;394891406,8;417040370,6
Finland;FIN;International tourism, number of departures;5147000;4918000;5233000;4743000;5314000;5914000;5824000;5857000;5585000;5798000;5902000;5756000;5749000;5854000;5832000;6633000;7274000;9055000;8562000;8731000;8904000
France;FRA;International tourism, number of departures;18686000;18151000;17115000;18077000;16709000;19886000;19265000;18315000;18576000;21131000;22480000;22240000;28103000;25506000;25140000;25041000;26155000;25317000;26062000;27919000;26648000
United Kingdom;GBR;International tourism, number of departures;41345000;42050000;45957000;50872000;53881000;56837000;58281000;59377000;61424000;64194000;66494000;69536000;69450000;69011000;58614000;55562000;56836000;56538000;57792000;60082000;65720000
Georgia;GEO;International tourism, number of departures;228000;219000;355000;433000;373000;315000;306000;317000;;466000;857000;1346000;1473000;1872000;1980000;2086000;2237000;2734000;3220000;3106000;3135000
Greece;GRC;International tourism, number of departures;;;;;;;;;;;;;;3765000;3835000;3799000;4941000;4681000;4594000;5802000;6291000
Croatia;HRV;International tourism, number of departures;;;;;;;;;;;;;;2357000;2497000;1873000;2880000;2680000;2927000;2763000;2578000
Hungary;HUN;International tourism, number of departures;13083000;12064000;12173000;12317000;10622000;11065000;11167000;12966000;14283000;17558000;17759000;16597000;17056000;17162000;16640000;16082000;16634000;16143000;16038000;16340000;17276000
