year,Albania,Armenia,Austria,Belgium,Bulgaria,Belarus,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Georgia,Greece,Croatia,Hungary,Ireland,Iceland,Israel,Italy,Lithuania,Luxembourg,Latvia,Moldova,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden,Turkey,Ukraine
1995,12000,,,,3524000,626000,11148000,360000,,,,3648000,1764000,5147000,18686000,41345000,228000,,,13083000,2547000,166000,2259000,,1925000,,1812000,71000,163000,12313000,590000,36387000,,5737000,,,10127000,3981000,6552000
1996,16000,,,5645000,3006000,703000,12061000,365000,,,5035000,4224000,1547000,4918000,18151000,42050000,219000,,,12064000,2733000,190000,2505000,18173000,2864000,,1798000,54000,168000,12807000,692000,44713000,,5748000,,,10390000,4261000,6004000
1997,,,,7548000,3059000,969000,12515000,422000,,55800000,4693000,3980000,1616000,5233000,17115000,45957000,355000,,,12173000,3053000,203000,2707000,19078000,2981000,694000,1877000,35000,172000,12858000,753000,48610000,,6243000,,,10818000,4633000,9632000
1998,,,,7776000,2592000,901000,11891000,484000,,69200000,4788000,4794000,1659000,4743000,18077000,50872000,433000,,,12317000,3330000,227000,2983000,19352000,3241000,757000,1961000,28000,167000,13553000,,49328000,,6893000,,,11422000,4601000,7773000
1999,,,,6410000,2376000,934000,11815000,540000,,78100000,4744000,3519000,1780000,5314000,16709000,53881000,373000,,,10622000,3576000,257000,3203000,18962000,3487000,809000,2256000,37000,179000,14184000,2271000,55097000,,6274000,,,10500000,4758000,7399000
2000,,111000,7528000,7932000,2337000,1289000,12240000,588000,,80507000,5011000,4100000,1800000,5914000,19886000,56837000,315000,,,11065000,3783000,283000,3530000,21993000,3632000,950000,2596000,32000,200000,13896000,2394000,56677000,,6388000,,1965000,10147000,5284000,13422000
2001,955000,110000,8350000,6570000,2730000,1387000,11554000,684000,,81551000,4946000,4139000,1658000,5824000,19265000,58281000,306000,,,11167000,4216000,,3561000,22421000,3390000,923000,2697000,30000,179000,14214000,2348000,53122000,,6408000,,2055000,10741000,4856000,14849000
2002,1303000,131000,8266000,6773000,3188000,1436000,11427000,744000,,80393000,4935000,3871000,1849000,5857000,18315000,59377000,317000,,,12966000,4634000,,3273000,25126000,3584000,1049000,2306000,52000,157000,16719000,2629000,45043000,,5757000,,2127000,12888000,5131000,14729000
2003,1350000,169000,8384000,7268000,3403000,1108000,8774000,737000,7213000,85345000,5564000,4094000,2075000,5585000,18576000,61424000,,,,14283000,4929000,,3299000,26817000,3502000,1021000,2286000,67000,174000,16425000,2588000,38730000,,6497000,,2114000,12649000,5928000,14795000
2004,1694000,221000,8371000,8783000,3882000,515000,,859000,6643000,84859000,4630000,5121000,,5798000,21131000,64194000,466000,,,17558000,5409000,,3614000,23349000,,1100000,2457000,68000,203000,17130000,2960000,37226000,17141000,6972000,,2800000,13950000,7299000,15588000
